Name,UserName,Desc
NAFIS,NAFISschools,"The National Association of Federally Impacted Schools (NAFIS) advocates for military, Indian lands, federal property school districts that receive #ImpactAid."
Peter Wright,WrightThisWay,Educational equity | SYV Wine Country | Occidental College Trustee | PhD survival | California living
Megan Range,MegRange,"Professionally I'm interested in communications, news and politics. In my down-time I'm interested in cooking, fitness and decorating!"
EdCamp SiliconValley,EdCampSV,EdCamp Silicon Valley - 2/21/15 - Palo Alto High School - #edcampsv
StartupWeekendEDU SF,SWEDU_SF,"Transform your education ideas into action in 54 hours. No Talk, All Action! Nov 22-24 at @Hattery in SF. Tweets by @jfalkenthal #swedubay"
DowntownCollegePrep,DCP_IAmTheFirst,Preparing first-generation students for college success
Coral,coralta,"I think that failure is hard to conceptualize, it is easier to re-invent you ...and more fun"
Ivan Carrillo,IvanCarrillo916,
Mr. Theriault,davidtedu,"English Lit Learner, #nerd, #food, comics/kung-fu movies; collector of memorable moments #CAedchat, #edcampHOME, #slowchatED co-founder Google Certified Teacher"
Martín Macías,Mmacias963,Director of English Learner Support Stanislaus County Office of Education Mmacias@stancoe.org
Jessica Gelzer,JessicaGelzer,"| Senior Communications Associate @KidsPartnership | Proud Los Angeles native | Tweet about comms strategy, public health & LA happenings | Views are my own |"
Tony Gonzalez,TonyGonzalez85,"The official Twitter page of Tony Gonzalez, Jose and Alma's son"
Michelle Bissonnette,MichelleBiss,
Jamie,JamieGreeson,Human Resources @ CSBA
CSTA,cascience,California Science Teachers Association
Leslie Finnan,LeslieFinnan,"Policy Analyst, AASA"
Startup Care ,Startup_Care,Transforming childcare
Robin Pang-Maganaris,rkpang17,"elementary school principal, teacher, reader, wife, mom. Check out my school at @Nesbitpumas."
EdGeek Girls,EdGeekGirls,Two Ed Geeks who care deeply about continuous improvement and UnCommon Leadership for Common Core.
Twanda Hogans,msvirgo,
DR,Dr_D_R,"Passionate educator, iCOACH, teacher trainer, author, & advocate for ELs & teachers of ELs. Thanks4following! #civilrights #teachertrainer #ELs"
Kaymbu,kaymbuinc,Kaymbu is the iPad-based teacher documentation system to capture the essence of student development and strengthen relationships between home and school
VC+E=IPO Foundation™,VCEIPOFdn,The VC + E = IPO Foundation™ Coming Soon! • The Greatest= @GATESFoundation @CARNEGIECorp @ROCKEFELLERFdn @FORDFoundation @CLINTONFdn @PackardFdn @HEWLETT_Found
rafael enriquez,enrodraf,
Brett Murphy,bmurphy99,"Husband To The Best Wife In The World @dmu79, Father, Son, Brother, Field Rep @MountainMikes, Media Promotions Specialist"
Steven Falk,StevenFalk18,
justice folorunsho,justicefoloruns,
AERA,AERA_EdResearch,"Official account of American Educational Research Association, a national interdisciplinary research association for ~25K+ scholars who undertake #edresearch."
Anna True ,annamh55,I love music & reading! :D Love working out & sining my heart out!! :) funny outgoing! I really want a boyfriend that will treat me right and is funny :D
Carla Rivera,CarlaRiveralat,Los Angeles Times staff writer covering higher education
Mohammed Choudhury,choudhury_mo,
SV2,SV2Partnership,Our mission is to unleash the resources and talents of the Silicon Valley community in support of promising social ventures to achieve measurable impact.
Scott Mooney,smooney5,Assistant Principal at Alvarado Intermediate in LA County - Passionate about improving student learning by empowering and building capacity of school staff.
Elysse James,ReporterElysse,Community editor for the Orange County Register. RTs and follows in no way reflect an endorsement.
ABC,ABC_PolicyLA,Alliance for a Better Community is a non-profit dedicated to promoting an improved quality of life for Latinos in LA  through policy and advocacy
Lisa,Hornel01,
Yak2Gyro,Yak2Gyro,"Maybe, one day, something more"
Rick Miller,rmiller25,
Orton Gillingham OA,OGonlineacademy,The Orton Gillingham Online Academy offers resources to assist with teaching our English language & to enhance the teaching/learning venue.
Fusion Academy WCR,FusionAcadWCR,"Fusion Academy is a private, alternative middle and high school with one-to-one instruction and individualized education programs."
Erica Lepping,EricaLepping,"A voice for civil rights, great public schools and human understanding... who believes a dance floor, aka Footloose, may solve every problem"
Lee Paul Donnellan,elt_Facilitator,"Educational Technologist working for a WBL provider. Interested in VLEs, Virtual Worlds, content development, gamification, web design and pugs."
Jake Wertz,jakewertz,"2013 @BESBuzz Fellow and Proposed Founder of Valiente College Prep, a 4-8 Middle School for Southeast Los Angeles. Formerly Creator/Director of @UPFellows."
Lisa Zerkel,LisaZerkel,
J Cruz,jmcruz,"Educator, change agent and geek."
GGUSD,GGUSD,The official Twitter account for Garden Grove Unified School District. Also posting at http://t.co/7bOyYnbXmK.
Kristina Wilson,KrisWilson29,Community College Crusader. Feminist. Latina. Academic Grants and Projects Officer at South Texas College. Opinions and Views are my own.
Cheryl Williams,cscottwilliams,
G.K.  Shahani,GKShahani,The Founder  & Member of  Sindh Foundation for Education
Kelso's Choice,KelsosChoice,Award-winning conflict management curriculum for Elementary K-5. Over 20 years of reducing bullying in schools with the help of Kelso the Frog!
PeerTutoringResource,PeerTutoring,eLibrary of peer tutoring information & research. Tools & resources to implement peer tutoring programs. Help us improve http://t.co/w10W4BpP6C
Una Daly,unatdaly,"Community College Outreach Director, Open Courseware Consortium
Foothill College Computer Technology Instructor"
Teacher Mr Loria,TeacherMrLoria,"Interested in solutions for improving positive life outcomes for others. Life, it's beautiful."
Moksha Lim,MokshaLim,Wife. Mom. Daughter. Friend. Educator.
Monique Newman,hokiehash,"Dog Lover, Hokie, ESL Teacher"
Oakland Ed Fund,OaklandEdFund,"We leverage community resources in Oakland public schools so that all students learn, grow, and thrive. Like us on FB at http://t.co/gNQ1VVTelC RT≠endorsements"
Mark Plenke,MPlenke,"Journalism prof, student newspaper adviser at Chico State"
kcjava,kcjava,Life is better on the Sunnyside!
Rockin 4 Right,Rockin4Right,http://t.co/ZfXzT8Ti - See our FB page: Rockin4Right - American Values - U.S. Politics - Conservatism - Constitution - UNITED WE STAND 4 AMERICA!  @Bren_4Life
JoAnne Reinking,JMReinking,"Folsom Cordova School Board Trustee. 
Thank you for allowing me to serve our 
students, families and community."
CQE,campaign4qualed,Campaign 4 Quality Education is a statewide coalition committed to education equity for all communities in California public schools
Tanya Myers,tmmyers28,Early Childhood Educator
Huntington BeachUHSD,HBUHSD,"The HBUHSD serves over 16,400 students in Huntington Beach, Fountain Valley and Westminster in grades 9-12."
Sasha Horwitz,stiggur,"Education policy analyst, Science evangelist, cider maker, podcast addict."
Exploring CS,exploringcs,Exploring Computer Science: A K-12/University Partnership committed to democratizing computer science
Drew France,drew_m_france,mostly just notes to self...
Andrea Foggy-Paxton,FoggyPaxton,"mother, education advocate, retired marathoner, and Executive Vice President @Reasoning Mind"
Serina Pruitt,Spruitt_csba,Marketing Manager at California School Boards Association
Caroline Chumo,carolinechumo,CalStateTeach candidate | educational technology | Mills alumna
German Freiwald,germanfreiwald,
Rob Manwaring,R_Manwaring,"Fiscal and Policy Expert, Education Consultant"
Gina Fero,fero_gina,"Food Service Representative for Equipment, Supplies and Smallwares within Southern California and Southern Nevada. Assiting with all your production needs."
David Spielman,SpielzOnWheels,"Husband, Father, Die Hard Philadelphia Eagles fan. I dangle on and off the ice. Public Affairs Manager @ Fan Freedom. My opinions only."
CTQ,teachingquality,"Transforming education through the bold ideas and expert practices of teacher leaders. Learn more about our book, #Teacherpreneurs: http://t.co/Phwq96KHxY"
Teach Movie,TeachMovie,"From the creator of Waiting for Superman, “TEACH” asks the question: what does it take to be a teacher?"
Morgan,onemomforchange,"for my family, for my community, for our future - http://t.co/gaTZxJ0gG9"
SAC,SacAdvisory,"We, the Student Adviosry Council, empower SCUSD student voice by informing youth about becoming active members within their communities."
Steve Wilhite,emcod,"Instructional technologist, systems thinker, dad"
Sally Jimenez,sallyherna,
Georgia Robert,grobert16,"Educational Leader, CT Teacher, ELA, pro-technology integration, BYOD, & the power of twitter- #PLN"
Susie Zapata,Susea428,
Franklin Education,FranklinFES,"Education News, Teaching Resources, and Learning Philosophies from the office of Franklin Educational Services, meeting the academic needs of all ages."
CSBA,CSBA_Now,"CSBA is a nonprofit association representing nearly 1,000 K-12 school districts and county offices of education throughout California."
Houghton Mifflin,HMHCo,"Houghton Mifflin Harcourt is a global education & learning company focused on developing digital learning solutions for teachers, parents and students."
Steven Dunlap,mrdunlap80,Director of Innovation and Learner Engagement @ Riverside Unified
Mª Jesús García S.M.,mjgsm,ESL Teacher - ICT Lover - Lifelong Learner - e-Connections are essential!
Grace Waylen,gracesway,ELL Teacher.  Responsible assessment and RtI advocate. Karaoke lover. Qen of fonetik speling. Snail pace marathon finisher.
Jonathan Jacobs,JonEJacobs,"I'm too much of a character for 160 characters. Partner, @NativesGroup"
Hartford Foundation,HartfordFdn,"We enhance the quality of life in Greater Hartford, CT by building successful partnerships with donors, community leaders and nonprofits."
Michael Coleman,MuniAlmanac,"California Local Government Finance Almanac. Adviser, analyst, author, speaker on California local government budgets, finances and governance."
George Station,harmonygritz,Seems that the #highered ocean liner is still approaching the socioeconomic iceberg. Orchestra plays on. My status: Unremitting Beta.
IFL,InspireFinLit,"Inspire Financial Learning is a resource for educators, parents and students enabling financial literacy and is brought to you by  Investor Education Fund."
Doug Otto,OttoCampaign,Campaign Account for Doug Otto for Mayor of Long Beach
Daisy Gonzales,daisygonzales,Co-founder @impactCal #Fosteryouth #LatinaPhD #Sociology.Tweets #california #politics #electing women & transforming community organizing into policy solutions.
Lauren Green,laurlens,Digital Communications Associate. #OrgDev  Grad Student @MasonSPGIA. Dancer @DancnUnlimited. Opinions are my own.
CUE,cueinc,Educate. Innovate. Explore.
AKA,akaknits,"Hand made cashmere knitwear brand based in Palma de Mallorca, Spain."
PETracker,EngagingParents,The Parent Engagement Tracker (P.E.T.) is designed for School Districts to track and measure Parent Engagement in their Children's Education.
Danette McBride,DanetteMcBride,
CityofMountainView,mtnviewcityhall,Official account for the City of Mountain View which is home to 75k+ diverse residents with great QOL. Call 9-1-1 for emergencies.
Tiffany Fishman,tdoveyfishman,
Julie White,K12Julie,"Sharing positive news about our schools, students and educators. Champion for the untold stories. Inspired by integrity."
Mary Whited,WhitedMary,Coordinator for the Merced County Regional Occupational Program
johanna dough,4lrn,
CSB ,chemsafetyboard,The CSB is an independent federal agency charged with investigating serious chemical accidents.  Visit http://t.co/wAhOP0wrCV or http://t.co/jJ8FSKknia
AlpenSpruce,alpenspruce,"Simple, affordable, and fully managed cloud-based K-12 Student Transfer and Volunteer Registration Management software products."
Kim Haynes,KimHaynes1230,"educational consultant, writer, & mom"
Brad Strong,BStrong_CN,"Parent, Education/Children's Advocate, Senior Director of Education @ChildrenNow"
HealthShack,HealthShackInfo,"HealthShack helps youth in transition take control of their own   health, well-being, and future by providing a secure place to keep all the docs life requires."
Cora Brush,CoraBrush1,I am a concerned mother who is witnessing our country changing. Not a place I want my children to be raised in. Let's make it better together for all children.
Karla Castellanos,queencastellano,Queen Castellanos
Audrey Dow,ADCollegeOpp,"Vice President, External Affairs and Operations @collegeopp - Latina in Higher Education - California born and raised - USC Trojan - Princeton Tiger - Mom of 4"
EnCorps Teachers,EnCorps,The EnCorps STEM Teachers Program recruits & transitions professionals in #STEM fields to deliver excellent education to kids in disadvantaged communities.
Holly Trippett,Holly_Trippett,"I work for Citizen Schools (@cschools), a national education nonprofit working to close the opportunity gap. RTs are not endorsements."
The BASIC Fund,BASICFund,"Providing the gift of a safe, quality K-8 education since 1998"
IMS Global Learning ,LearningImpact,Official tweets of the IMS Global Learning Consortium & the Annual Learning Impact Conference & Awards
Paula Huntington,PaulaHuntington,
D. Medina Wiley,dmwiley27,"Education advocate, nonprofit manager, novice health enthusiast, foodie, dog owner, wife, occasional sports fan, and lover of fun facts. Opinions are my own."
Susan White,SusieWhiteCBEA,"Manager, Central Office
California Business Education Association"
Gregory Frotton,gfrotton,Proud father. Loving Husband. Hard working public school employee. Union activist and leader.
Jordan عادل Robinson,JordanAdil,Product Ops @Zenefits. Alum @siliconvalleycf. Love: empathy. ecosystems. presence. stories. patterns. civic tech. design thinking. people power. نصف عربي
Katie Martin,KatieMTLC,Passionate about fueling K12 innovation & #leadership through transformational learning & teaching with #edtech @USDMTLC.
Dr. Anil S. Muhammed,anilsmuhammed,"Doctor of Education, Educational Leadership, USC; Master of Business Administration, UC Irvine; Computer Science and Engineering, UC Davis"
Michael Brown,michael33brown,"Senior Managing Editor, #Education @ Quinstreet.
6 years in #HigherEd. Gave up Milton and Swift for #SEO and online content."
Dragos Apostu,dragosh,Making learning fun as TA @ University of Bucharest and as Trainer @ Adamos Association.
Siegel for Oakland,DanMSiegel,Longtime community advocate committed to working with the people to build a better Oakland.
Bonny Forrest,DrBonnyForrest,"Dr. Bonny Forrest is a psychologist and attorney.  Commentator, author and clinician. http://t.co/hHrBUW6vVe"
Patricia Price,TrishSwims,"I'm a research scientist, currently studying the impact of dairy production on the environment in California."
Sandra Song,curriculumcoach,"Assistant principal, educational technologies, 21st century learning, professional development and instructional coach, lifelong learner, purpose-driven"
K. Kotyshyn,Wiseowl126,"Elementary teacher and proud mom. Inspiring 21st century learning, inquiry&physical activity in our youth #plc #yeg #edtech #elemchat #pbl #fifthgrade"
Brooks Allen,brooksmallen,
Lori Yeg Friedman,loriyeg,"#socialmedia #publicrelations, #writer, #socialgood  #blogging"
Yamilet Vargas,Yami14Vargas,
Jill Okimoto,LegalBizDev,"Legal Marketing + Business Development Director, Web 2.0 Enthusiast, Type A+, Former Outdoor Weekend Warrior, Mother of Two Spirited Girls, Gamer's Wife"
Berkeley Ed Services,BerkeleyK12,"Direct from Pasquale Scuderi, Assistant Superintendant, Berkeley Unified School District"
Alyssa Sharrard,alyss_sharrrard,
Juan Rangel,JuanRangel,
Seth Rosenblatt,sarosenblatt,Technology Executive and San Carlos School Board Member
sarah amesbury,SarahAmesbury,"Wife, mom and 4th grade teacher who loves living life to its fullest."
Dr. Albert Clegg,DrAC0456,"Assistant Superintendent, Educational Services
Norwalk La Mirada Unified School District"
Dr.K.POCKER KUTTY,kpkbly,
Ashley Dammen,ardammen,Communications Officer. Law Student. Adventure Seeker. Any RT/Link/Follow is not an endorsement.
Dr. Baeza,DrBaeza2013,"Educator in Anaheim, CA"
Alex M. Johnson,AMJ_AlexJohnson,"Executive Director, Children's Defense Fund - California.     Education is the most powerful tool you can use to change the world - Nelson Mandela."
Wendy Shrestha,WendyShrestha,
golency watches,golencywatches,"You'll find 155439 luxury watches on Golency Watches: watches from watch brands such as Rolex, Omega, Breitling. Buy men's watches, ladies' watches.."
UnMiscible,AnnRedleaf,Beautiful! Perfect! Now let's make it better.
Mary GutierrezKhopka,Gutierrezmlg,Wife. SEIU. Stronger Together. A righteous fight. Love all dogs. Good Food. No to animal testing. JFK. And a little decorating.
Cristina Rendon,Cristina_Rendon,Reporter @KTVU Channel 2 News. Native Texan. Love doing something different everyday & sharing people's stories from TX to UT to CA.
Robert Gannon,aisleleft,"RCDD, RTPM, Project Manager, Telecommunications Design, Father, Husband, Baseball & Golf nut, AV enthusiast, Left Coast, Politics..."
Molly Beth Jourdan,MsJourdan,So often you find that the students you're trying to inspire are the ones that end up inspiring you. -Sean Junkins #onthegrind
Innovative Edu Sol,Edu_Innovations,"Educational Consultant, Researcher, Trainer, Mentor, System Developer."
Howard Fulfrost,hfulfrost,"public education lawyer, child advocate, education policy wonk, special education legal expert, educator, leader, and parent"
Gumshoe Nancy Drew,NataROARsha,
"Sierra Club, SF Bay",SFBaySierraClub,"The San Francisco Bay Chapter of the Sierra Club represents Sierra Club members in San Francisco, Marin, Alameda, and Contra Costa Counties."
@PaceCoreCA,PACECORECA,Power Awareness & Community Engagement rooted in CORE Values
W Ron Sutton,mrstopwatch,
Rupi,rupiboyd,
Nancy Vandell,NancyVandell,
Debra Spear,ddteaches,"Ed Tech Coord/Coach/CCSS Math Fellow/ TGDC Lead Tchr/Math/STEM 7-8 Teacher/CUE-LA \
 Loves: Family,Friends,Teaching, Technology & SCUBA"
Maria S. Thomas,salamancathomas,
Roberta Zarea,robertazarea,
Julio arroyo,5108623195,Resourseful
Gilleland ETS,JuleeTweets,"-------------------- Gilleland Education & Training Services -------------------Trainer, Consultant, Grant Writer"
YouthRights&Justice,youthrightsjust,"Improving the lives of vulnerable children and families through legal representation and advocacy in the courts, legislature, schools and community."
CED,CEDupdate,"For over 70 years, we've been a nonpartisan, biz-led public policy org. Currently working on #education #capitalism #nationaldebt #healthcare #womenonboards"
Dennis Jackson,dennisjackson2,"Senior Advisor, Education Consulting @ PCGEducation"
Katy Hopkins,Katy_Hopkins,"I write about education access, financing, and success for @nasfaa-- formerly @usnews."
Jay Wesevich,wesevich,
Lisa Hickman,teachinlis,"Passionate human, hopeful union and public ed. advocate, educator, political and news junkie, foodie, dreamer, knowledge seeker and overall nerd :0)"
I'm Drew ,DrewFromMW,"Help has arrived! Follow me for the latest education tips, industry news, and ways to help you afford college!"
Mario L. Rodriguez,mariolrodriguez,"Son, brother, husband, and father."
Denise Zapata,denisezapata,"Senior Editor at EdSource in Oakland, Calif. Bay Area sports fan, specifically Giants, 49ers, Warriors, Sharks"
Marianne Smith,MSmithWriter,"Writer, editor. Expertise: communications, media literacy,K-12 education, STEM ed, arts, nonprofit marketing, proposals. manuscript & prospectus development."
The Stockade Group,StockadeGroup,"The Stockade Group, located in Upstate NY, is a recognized leader in the telephone and web-based client outreach services industry, with a focus on higher ed."
Dawn Valadez,DawnValadez,"Chicana social justice warrior, resource wrangler. Watching & making documentaries. Queer, single mom, & joyfully winging it."
Appoint McKenna NOW,AppointMcKenna,
THS Athletics,TillerPride,Tustin High School Athletics account.  Follow us and get all the latest updates on our sporting events in real time!
Mark Mclaughlin,MarkMcLCVUSD,
Chris Lindberg,ChrisTvea,President of the Temecula Valley Educators Association
Ramona Robinson-Bish,rrbishop,
jwaggo,jwaggo,Follow/RT not=endorse! Civic engagement CA tech leadership justice gender nonprofit communication government volunteer. VP @Countable & Board @lwvc @CAvotes
Todd Rossi,tjrossi97,
KristineParkShiraki,kristinejpark,
Stockton Unified,StocktonUnified,"Educating the children of Stockton for over 150 years. Stockton Unified School District (SUSD) currently serves more than 38,000 students."
Tom Drummond,tcdrummond,Teacher
Joseph Sanderson,JosephMyer,
First 5 SF,First5SF,supporting the school readiness of children and strengthening families.
ECHOS,EchosScience,Early Childhood Hands-On Science (ECHOS): A research based comprehensive curriculum & PD program developed by @PPFMoS #ECE #preschoolscience #STEM
"CGnine, Inc.",CGnine,"College knowledge specialists consulting with districts and ed tech companies to do what it takes to get low-income, first-gen students to and through college."
Ramiro,rmed2012,
Ramon F. Baez,RamonfBaez,"Serves as the global CIO of HP, husband, dad, and grandpa!  Loves to workout, public speaking, and leading great teams! Views are my own and not HP's."
Class Charts,Classcharts,With Class Charts you get data rich seating charts and streamlined behavior management. You can even collaborate and work as a team to tackle behavior.
Cheryl De La Vega,cheryldelavega,
Jennifer Orlick,JenOrlick,
BetterLesson,BetterLesson,BetterLesson is a place where educators can find and share what works.
DreamLife Project,dreamlifeproj,Helping diverse youth reach their dream of college and life success
Jacob Wang,jacobsf,"45-yr-old man of Chinese heritage w/ Asperger's Syndr in SF;  Stvnsn Elem, WPL, SI & SJSU alum; SF Giants & 49ers fan; Office Asst at CA Div of State Architect"
VPE Public Relations,VPEPR,"We help companies & nonprofits reach Latino & multicultural audiences. We’re local, national & global: PRGN member. Tweets by Patricia Pérez."
Miles Waddell,waddellmiles,
Sac City Unified,officialSCUSD,Sacramento City Unified School District is the 11th largest school district in California & one of the oldest in the western United States (established in 1854)
Nicholas M. Lind,NicholasMLind,"Educator, Policy Advocate, & another crazy millennial trying to change the world."
Brian Ross Adams,BrianRossAd,"Branding, social media, marketing. #springsteen fan -  Against adaptations of Cormac McCarthy"
Mihir Zaveri,mihirzaveri,"Reporter @HoustonChron covering The Woodlands and its surroundings. Formerly of @ucbsoj, @AP, @WashingtonPost, @CIRonline, @Oregonian."
Dr-Hurt,DrHurt1,
EmersonMSLA,EmersonMSLA,"Official Twitter account of Emerson Middle School, in the Westwood neighborhood of Los Angeles, serving a diverse community of students in grades 6-8."
HashOffSanFrancisco,HashOffSanFranc,All about the #sanfrancisco.  Best Tweets& Pics every day.
Maria Haro-Sullivan,msulli1,"Candidate for Sacramento Unified School District Board of Education, Trustee Area 6"
OJUSD,oakjusd,"Teach, Learn, Every Day, No Excuses! All OJUSD staff and students strive for improvement and excellence every day. (K-12)"
Lily Alcazar,lilya2388,
Laura,Laura65669776,
Yusuf Ali,yusaali,"@SFUnified educator, @TeachForAmerica alum giving equal attention to education and everything San Francisco."
Mark Schoenberg,markisit,"Father, Middle School Teacher and Student"
Raquel Marquez Maden,RqlMrqzMaden,
warbird110,warbird110,
Mike Breyer,coachbreyer,
Brubaker,Brubaker_Mentor,School Social Work
Vanessa Smith,missanabie,
Frank Pugh,frank_pugh,Counselor and Instructor at Santa Rosa Junior College. Member of the Board of Directors - Santa Rosa City Schools.
Chris Perrius,cperrius,"Development and Communications Director at @GOPublicSchools. #Oakland. Family, music, books, funny stuff."
Miller&Miller ,MillerMillerEd,
Elizabeth Ramirez,MsLizzy5,
Madeleine Villanueva,Madeleine_V_,"I've got issues: Gender, Latino, Race, Urban, Education, Economic, Political, Social Structure, Social Justice, Human Rights, Green, ... w/some crazy on da side"
Alison M Collins,AliMCollins,"twin mom. education nerd. public school warrior. neighborhood busybody. reformed cat-lady. amateur urbanist. social justice addict. modern design, BLERD"
Lauren Hepler,LAHepler,Editor @GreenBiz covering urban development and the business of sustainability. Previously @SVBizJournal @CQRollCall @slate @OpenSecretsDC
Jon Spack,JonSpack,"From Brookline, MA, Wisconsin Badger, work at Education Pioneers"
Jan OLaughlin,OLaughlinO,I work in Community Relations at Target.  All tweets are my own.
Tovin Lapan,tovinlapan,"Freelance reporter covering immigration, Latin America, courts, agriculture ... Let's just say I'm always hunting good stories.   Baltimore native."
Chicago Commons,ChicagoCommons,"Chicago Commons improves education for children, and reduces isolation among seniors in West Humboldt Park, Pilsen, Englewood and Back of the Yards."
Learn to Learn,learntolearninc,"Improving Intelligence, Boosting Success"
"Carl Borders, III",TheSpeechMan,"MA, CCC Licensed Clinical Speech-Language Pathologist, Graduate Student Clinical Supervisor/instructor, Blacksmith, #burner, #SLPeep, #advocate #soccerdad"
Francesca Duffy,fm_duffy,"Communications & Advocacy Specialist, @AASAHQ.
 Blogger, @YEP_DC's Recess. Public education advocacy, policy, leadership news. Retweets are not endorsements."
Jessicca Mosack,JessiccaMosack,If you lack self-confidence you will find it difficult to become successful for it is extremely hard to be motivated to succeed if you don’t believe in yourself
el americano,elamericano05,is like this even isnt like this
Lauren Londot,LaurenLondot,
Tom Malarkey,tmalark,"National Equity Project - coach, change facilitator, social justice advocate... dad & husband... Oakland resident...  occasional tweeter."
Mar Vista FC,marvistafc,"Mar Vista Family Center Transforming Families & Strengthening Communities w/ early childhood ed, youth & community programs. Learn more, visit our website"
Lisa Schwartz,SchwartzLisas,
Michelle Cartledge,kiefercartledge,"I'm Michelle Kiefer Cartledge, mom to 6 at home and 150 at work! I love my job as the director of the American River College Child Development Center."
Aura,onlyaLaChina,
Susan K. Jeong,susankjeong,Anti-Poverty Policy Advocate | Nonprofit policy professional @unitedwaysfbay | Opinions are my own. RTs do not imply endorsements.
Amber Arellano,ArellanoTweets,"Amber Arellano, Executive Director of The Education Trust-Midwest, which is dedicated to closing the achievement gap and improving education for all kids."
Career&CollegeClubs,CCClubs,"Empowering middle grade students to succeed                                   in high school, college, and life."
Jennie Kress,jkress1,"Program Associate at Teach Plus. Other interests include: food, pugs, queer theory, and immigration"
ChristopherCovington,CovingtonLB,"Community Organizer, Public Relations Manager, Ambassador for Youth, Advisory Board Member, Speaker and Activist."
David C Isom,DavidCIsom,
Advancement Project,adv_project,Next generation national civil rights organization. Inspiring & supporting national & local movements toward a #justdemocracy.
JEP,jepace,
San Juan Unified,SanJuanUnified,Education for ALL learners in north eastern Sacramento County – Updates provided by SJUSD Communication Office 916-979-8281
0000000000,amberk72us,
Homework Hotline,askHMC,Homework Hotline at Harvey Mudd College provides free over-the-phone tutoring in math & science for students in grades 4-12.         Open Sun - Thurs 6-9pm PST
New Beginnings,nbedcenter,New Beginnings Educational Center works to break the cycle of poverty through education. Together we can make a difference in the lives of at-risk children.
Pass2Teach,pass2teach,Are you prepared enough to pass the Praxis Exam?  Let's just get the Praxis out of the way and pass.
Annie Petrie,AnniePetrie4,"Mom, Wife, Daughter, Sister, Friend, Coach, Dreamer, Believer & Napa High School Assistant Principal"
Mandarin Immersion ,MandarinProgram,LAUSD Mandarin Immersion Program for elementary students located in Los Angeles.  Students receive instruction across all subject areas in English and Mandarin.
NaHaeNam,Modeun,"Very interested in how to make the best use of online resources for educational purposes, for watching movies, for learning languages, etc."
Suzanne Meraz ,suzmeraz,"Senior Director of Communications/PIO @ California School Boards Association (CSBA)
Passionate about my family, education, communications and sports!"
ME SXI,Keibridge,"I-management communication I-hr,leadership,"
Suzy Pak,yoohooboo,
Al Muratsuchi,AMuratsuchi,"Assemblymember, 66th Assembly District of California"
Roseanne Lascano,rorola1956,
FM3 Research,FM3Research,Public policy-oriented opinion research.
Amy Christianson,AmyChristianso4,“We learn more by looking for the answer to a question and not finding it than we do from learning the answer itself.” Lyod Alexander
Pencil,GetPencil,Pencil is where parents connect and organize.
Katherine Underwood,kunder51,
Hector Hernandez,lausdtech,Blended Learning Technology Coordinator @ LA's Promise  ( Dad - Education Technology Geek - DJ -  Lifelong Learner -  On a Mission for change )
Desarrollando Mentes,DesMentes,Desarrollando Mentes Center promotes engaging learning in different programs and therapies. Children envision learning as playing.
Education Think Tank,EduTnk,"African American educators need to network and maximize skills, talents and expertise. We are a nonprofit professional educational membership association."
LaScuolaSF,LaScuolaSF,Italian International School // Pre-school - 8th Grade // Bilingual Immersion // SF's First IB-PYP Candidate
Becky Zoglman,bzogley,Public Education Supporter; Jayhawk; See U at the Movies;
Life Sciences Summer,SD_LSSI,SD Workforce Partnership's Life Sciences Summer Institute is a high school internship and teacher professional development program. #STEMeducation
Timmary Leary,TimmaryL,
Activate Instruction,ActivateIn,"A free tool to personalize learning. Now available with top quality, standards-aligned resources contributed by high-performing schools."
Mister Lemus,MisterLemus,"I teach 7th grade math in Whittier, California."
Laura Feeney,lauramfeeney,"I care about education, schools, creativity, art/design, nature, joy & well-being. I am an Education Customer Success Manager at Adobe. Opinions are my own."
Amy Wright,SocialAmyW,"Lifelong learner.  Passion for writing, technology, nature, marketing strategy, education, sustainability, family and organization.  Fascinated by social media."
Nai Saechao,SaechaoNaiT,advocate | graphic designer | journalist
Suz ,szq1111,"Communications, Education and Uncommon Wisdom. American Institutes for Research. Tweets are my own."
PALs,PALs4Students,"PAL is a grassroots, parent-led organization serving, engaging, and empowering parents and families to ensure the highest quality education for all students."
Ashanti H. ,HueKnew,Early Childhood Policy Associate with an interest in effectively communicating the need for investments in children
Liz Schott,LizSchott,Superintendent
Adriana Kingston,AdrianaKingston,
Sabba N. Quidwai,askMsQ,"Director of Innovative Learning at Keck USC (Family Med). Work with @EdTechTeacher21 & @iPadEducatorsAE. Former Social Science Teacher 
http://t.co/yoaDEqTTzC"
The Peralta Colleges,PeraltaColleges,"The Peralta Colleges' News for Berkeley City College, College of Alameda, Laney College and Merritt College."
Daniel Manske,skeman,"Educator, traveler, photographer, hiker, hot springs soaker, loyal friend and great listener. (Oh yeah, and humble, too)."
Sarah Lehman,socialehman,"Fundraiser @eastbaycf, communicator, connector, & ex-pat Canadian. Tweets are my own: fundraising, philanthropy, and a strong East Bay."
Elvia Medina,Lv_Medina,Public Relations Enthusiast. Italian Food Lover. Proud Parent
The Vherb,RosemarytheHerb,"Another college student, SJSharks fan, reader, writer...and more"
Empowered.im,Empoweredim,Helping schools protect and empower students to combat #cyberbullying l Awareness + Action = #Empoweredim
Doria Barnes,ImD_Arne,"daughter, sister, wife, mother, graduate, teacher, videographer, makeup artist, determined to be great! BET Lens on Talent; top 25 finalist"
